# {"t_start": 1687017264.059135, "env_id": "Ant-v2"} 
r,l,t
-95.195007,36,123.474215
-74.344278,32,123.509277
-141.305283,70,123.586489
-291.401491,129,123.727607
-79.396157,31,123.763262
-2389.09966,1000,124.878174
-159.109295,55,124.93876
-75.681474,31,124.973577
-42.787043,13,124.988186
-381.694392,184,125.189071
-145.447897,40,125.23313
-73.944519,39,125.275339
-275.850172,93,125.377438
-23.91317,11,125.390778
-115.100171,52,125.446307
-493.075837,200,125.666464
-354.001724,120,125.794841
-37.982647,18,125.815942
-89.905478,37,125.856323
-456.328901,173,126.043875
-90.634392,36,126.083895
-28.444853,12,126.097438
-155.07956,53,126.154659
-133.01126,43,126.201385
-119.280834,61,126.268613
-63.833238,29,126.301623
-99.536738,48,126.353328
-27.319883,14,126.368891
-184.802909,86,126.464993
-33.692797,16,126.483872
-2465.584658,1000,127.607092
-1577.904629,621,128.30291
-178.954542,106,128.419323
-26.798036,11,128.432302
-141.774199,53,128.492084
-103.65631,31,128.527324
-161.107135,65,128.597423
-189.194013,72,128.674497
-101.80236,31,128.709138
-403.467345,170,128.897097
-290.717581,108,129.015418
-66.968055,29,129.045957
0.383983,19,129.066826
-122.433322,53,129.12499
-57.042401,32,129.161272
-97.29902,32,129.197087
-25.012527,7,129.205467
-24.2538,13,129.220376
-2544.164268,1000,131.313488
-25.335067,20,131.331852
-33.168487,14,131.344649
-181.809788,79,131.416164
-220.70398,67,131.476516
-274.242888,110,131.573881
-84.819799,27,131.598989
-197.323445,68,131.659965
-36.895949,25,131.683324
-26.225119,14,131.697059
-57.95126,18,131.713821
-49.510301,26,131.736631
-117.311584,62,131.791058
-150.382275,61,131.846408
-50.288191,28,131.872249
-152.467301,59,131.925599
-45.395389,21,131.944707
-85.881226,38,131.978727
-161.587716,77,132.046833
-90.215357,39,132.082162
-152.519013,50,132.127935
-61.926876,21,132.147428
-65.470441,30,132.17405
-44.014984,16,132.188651
-127.377008,59,132.240257
-70.052612,27,132.26522
-66.925526,33,132.295513
-395.698617,173,132.450038
-42.471381,18,132.466838
-12.049948,9,132.475955
-40.456154,30,132.503723
-156.836024,67,132.563665
-262.656812,113,132.662962
-59.576555,25,132.686558
-2405.952845,1000,133.604052
-66.10093,36,133.637268
-231.072965,108,133.735579
-137.359577,69,133.796014
-44.41848,20,133.814945
-125.22532,38,133.849753
-45.425927,22,133.870303
-149.576051,62,133.926316
-112.445749,48,133.969325
-174.214846,58,134.020011
-444.468326,198,134.2012
-24.182367,12,134.212736
-33.064725,11,134.222926
-375.362961,140,134.345316
-56.663365,31,134.374053
-66.815418,29,134.400897
-37.113027,19,134.418107
-84.118684,30,134.444144
-119.300433,37,134.477628
-99.909621,39,134.512878
-40.531937,13,134.524769
-46.701903,22,134.545314
-45.750885,14,134.557977
-36.388549,18,134.574508
-239.249457,88,134.653915
-109.182416,45,134.693659
-141.900154,56,134.744121
-80.651426,38,134.778528
-101.687628,48,134.822728
-64.459357,25,134.846251
-38.375054,20,134.864588
-201.275809,106,134.956795
-122.194626,44,134.997483
-69.277471,34,135.028503
-91.878694,38,135.063749
-47.751196,20,135.082253
-115.936167,49,135.12588
-65.936064,28,135.151669
-52.549467,17,135.167721
-54.678948,21,135.187011
-16.011157,10,135.196517
-43.825354,14,135.21009
-2452.594981,1000,136.116482
-38.435892,11,136.127442
-47.930743,21,136.147136
-42.918762,19,136.164978
-80.844008,26,136.18927
-160.991507,59,136.241576
-148.250863,58,136.29314
-37.806828,21,136.313137
-63.306862,31,136.34208
-103.106004,40,136.37837
-65.342397,29,136.405061
-2551.47041,1000,137.30997
-93.322161,40,137.346162
-79.881387,31,137.37494
-148.34973,60,137.428314
-41.627045,33,137.458359
-52.055962,20,137.476955
-113.054183,41,137.514431
-2069.540393,838,138.273971
-214.684794,121,138.380387
-151.235233,49,138.425165
-202.361308,60,138.478791
-89.490041,32,138.506763
-295.381396,131,138.6254
-59.484646,26,138.649231
-148.369964,55,138.699463
-56.701273,20,138.718158
-127.290362,71,138.780963
-144.037554,44,138.820696
-51.025169,13,138.833284
-118.45469,44,138.874086
-114.488841,45,138.915866
-199.562948,74,138.980436
-71.929051,31,139.008355
-175.661294,55,139.058068
-30.783218,16,139.073288
-2563.687405,1000,141.046508
-69.499923,26,141.070781
-2330.626487,1000,141.976814
-248.917116,77,142.046159
-40.496789,15,142.060344
-150.281229,71,142.122609
-179.252496,83,142.197017
-156.245022,55,142.247416
-77.391943,21,142.266727
-35.300311,14,142.27988
-2272.645074,1000,143.265877
-273.982283,107,143.383247
-83.618298,35,143.421684
-68.990493,23,143.446331
-166.775209,68,143.521588
-145.008197,65,143.594964
-86.318567,38,143.637997
-143.412111,85,143.717125
-50.587178,13,143.730685
-2389.353861,1000,144.635241
-69.727836,24,144.657507
-28.952007,27,144.682378
-116.148437,50,144.728042
-24.787238,14,144.740778
-58.003829,16,144.755222
-176.776344,60,144.809008
-221.119765,61,144.864275
-66.774452,29,144.89113
-104.096501,38,144.925189
-34.483225,15,144.939148
-105.998024,39,144.974238
-184.45554,80,145.044657
-2443.042078,1000,145.955785
-209.317257,82,146.02849
-78.479286,27,146.053344
-58.873868,33,146.083592
-27.33616,12,146.095196
-229.678926,74,146.159322
-32.073422,15,146.17349
-2351.21808,1000,147.081433
-52.639063,20,147.100014
-58.054377,38,147.134729
-150.976077,47,147.177331
-39.708122,16,147.192146
-186.04074,76,147.260408
-26.763478,12,147.272248
-90.155824,37,147.305059
-31.357632,14,147.317983
-98.890492,36,147.350755
-49.836251,16,147.365825
-56.515214,28,147.39207
-2478.68734,1000,148.296361
-36.581839,11,148.307076
-75.036203,23,148.328218
-160.771184,67,148.387815
-149.968734,37,148.421008
-49.445602,19,148.438972
-2284.869112,1000,149.345711
-125.768712,53,149.39393
-51.655217,17,149.409921
-401.73495,147,149.539583
-154.220845,49,149.583578
-63.947331,25,149.606726
-29.324875,13,149.618964
-39.018902,28,149.644155
-24.411439,10,149.654114
-70.564143,52,149.701835
-115.241296,32,149.730319
-88.130869,42,149.767697
-126.342913,57,149.819802
-33.173355,16,149.835036
-47.990426,13,149.847171
-2537.964607,1000,151.830783
-115.946738,57,151.882776
-15.678063,11,151.893792
-37.053057,17,151.909538
-196.105345,80,151.980367
-384.632403,149,152.112828
-22.725059,15,152.12734
-192.602618,58,152.180434
-141.782075,46,152.221695
-80.500693,44,152.261801
-51.369832,14,152.275103
-151.7769,53,152.322876
-80.712329,34,152.35384
-160.200482,59,152.408361
-75.498539,23,152.428582
-96.222916,64,152.486045
-100.997047,36,152.51912
-224.980763,80,152.5912
-64.601074,20,152.609804
-273.99905,79,152.680684
-93.095153,35,152.711946
-178.608455,81,152.784869
-319.26681,121,152.892161
-1377.940903,591,153.425756
-196.423917,59,153.47949
-82.882707,33,153.509867
-96.26406,34,153.540658
-159.758323,55,153.589438
-90.55013,44,153.628891
-113.384801,44,153.667341
-50.22196,27,153.692729
-102.641095,53,153.741485
-27.338741,13,153.753213
-108.689537,42,153.789958
-46.306678,31,153.817701
-52.502064,13,153.830014
-35.880378,14,153.842943
-39.680664,14,153.856247
-21.416723,15,153.870071
-335.700136,138,153.994016
-139.457226,40,154.030321
-46.382841,20,154.048639
-125.216523,46,154.090832
-330.517167,132,154.208927
-282.213728,108,154.30462
-215.216939,55,154.355067
-89.145365,35,154.387119
-52.228337,28,154.413006
-71.562842,37,154.447178
-155.149234,70,154.510338
-65.243346,25,154.533443
-50.763146,21,154.5534
-177.772419,63,154.609691
-116.819565,63,154.666253
-40.274012,18,154.682538
-285.059267,124,154.793916
-66.862701,20,154.812582
-35.055954,14,154.825274
-169.022968,53,154.873806
-172.696701,75,154.940173
-96.938392,35,154.972168
-124.718773,41,155.010224
-2211.855541,865,155.80142
-177.18765,48,155.844037
-497.135468,198,156.026992
-104.085429,52,156.07778
-197.155215,64,156.139591
-198.133482,94,156.227763
-162.23442,53,156.27462
-134.480745,72,156.339294
-177.883115,47,156.381603
-105.890383,50,156.427696
-146.9855,54,156.476215
-50.562877,19,156.493044
-15.718883,13,156.504811
-78.180958,35,156.536721
-86.543751,27,156.561549
-76.334798,38,156.596233
-246.281822,93,156.680244
-220.655215,94,156.763198
-253.558802,87,156.841619
-50.476206,26,156.865899
-169.648122,64,156.922992
-107.134093,52,156.969251
-70.189378,39,157.005271
-293.917098,111,157.104692
-77.398337,31,157.133626
-40.347449,14,157.147308
-69.437261,36,157.181658
-61.333664,33,157.21424
-49.550473,20,157.234492
-256.238481,98,157.324944
-54.293569,18,157.341637
-52.79293,23,157.362556
-104.840221,39,157.39667
-83.376674,35,157.42807
-54.88831,30,157.461197
-41.899607,18,157.482124
-114.308629,42,157.529693
-183.971177,60,157.597136
-28.249678,10,157.608921
-63.112512,32,157.643789
-141.374325,52,157.700595
-142.074179,44,157.749124
-49.163391,36,157.789453
-56.445024,24,157.816875
-248.222243,102,157.936627
-128.265305,57,158.002307
-169.65091,86,158.095185
-129.01709,60,158.161714
-56.963042,18,158.182079
-216.602533,84,158.276607
-88.145416,51,158.332974
-181.694143,102,158.446416
-161.273771,67,158.521712
-24.511457,18,158.541944
-278.511301,126,158.679083
-133.114534,59,158.74357
-153.127949,44,158.791809
-17.224005,21,158.816222
-63.304249,30,158.850402
-45.801446,15,158.86727
-218.494253,80,158.95523
-97.465546,41,158.999907
-30.469225,22,159.024273
-220.31153,76,159.104117
-124.612084,58,159.156131
-100.439333,38,159.189459
-97.525326,34,159.219971
-82.653608,34,159.250961
-54.00923,23,159.273422
-120.105152,50,159.319942
-160.215107,72,159.384754
-145.452434,59,159.437366
-94.296071,42,159.474889
-51.674678,22,159.495904
-57.947182,29,159.522808
-118.6172,44,159.563724
-190.232377,84,159.639781
-103.713643,25,159.662486
-117.861549,38,159.698046
-168.336374,72,159.764161
-354.613155,134,159.883763
-45.217289,22,159.904018
-38.96196,38,159.938038
-120.277487,40,159.974381
-93.505337,34,160.005614
-213.591759,81,160.078507
-16.345277,9,160.087118
-71.373874,40,160.122874
-48.795563,29,160.15013
-137.116982,51,160.196686
-166.107862,89,160.277056
-58.29388,28,160.302444
-30.830232,14,160.316719
-174.649949,62,160.375123
-58.261845,24,160.397069
-106.202357,50,160.44227
-51.270067,33,160.472857
-104.419211,42,160.511993
-42.371776,13,160.523929
-157.570252,63,160.579262
-179.134462,75,160.647287
-48.194063,15,160.661312
-35.311918,16,160.67647
-17.246444,12,160.687714
-162.524726,67,161.805381
-86.38109,31,161.834133
-2364.060431,1000,162.74573
-142.277637,66,162.804322
-32.894663,14,162.817372
-42.01783,16,162.832414
-50.269724,42,162.869974
-149.252904,55,162.918968
-48.010278,28,162.944914
-26.534627,28,162.970288
-187.163939,74,163.037054
-114.044581,42,163.075045
-56.293745,19,163.092455
-35.130181,18,163.109274
-92.720004,43,163.147754
-49.275341,34,163.179125
-38.177624,30,163.207147
-65.724391,23,163.228095
-27.512756,16,163.242558
-82.424981,32,163.270709
-28.088322,15,163.284821
-96.785075,50,163.330312
-111.679841,65,163.38834
-172.176511,55,163.437624
-139.470738,55,163.485809
-65.888648,34,163.51653
-51.697108,19,163.53425
-114.203074,49,163.5787
-78.184064,29,163.60543
-137.982236,55,163.655383
-81.039851,36,163.68769
-67.380089,20,163.705288
-361.97931,156,163.844631
-190.621901,70,163.908765
-204.281457,99,163.996186
-2318.786474,1000,164.90158
-2234.729044,1000,165.803964
-56.043397,35,165.836265
-112.996913,29,165.863168
-76.536919,33,165.89394
-132.153167,48,165.936277
-253.711943,82,166.009336
-53.106962,17,166.025277
-98.807814,33,166.055106
-26.00083,12,166.066194
-44.723041,25,166.089557
-154.149785,69,166.151381
-53.908717,17,166.167168
-55.239184,50,166.211591
-28.012723,16,166.226393
-164.19548,72,166.290909
-40.615395,13,166.303237
-73.672236,41,166.340299
-49.346808,33,166.369182
-61.076244,23,166.389231
-286.627873,101,166.480067
-77.496831,31,166.508382
-110.202356,41,166.544791
-219.925682,92,166.626249
-82.256602,41,166.664036
-2423.142647,1000,167.569371
-107.725897,48,167.612693
-341.041976,161,167.754268
-162.458791,66,167.813305
-37.511439,15,167.82779
-79.327135,38,167.862217
-113.081632,49,167.906705
-44.333998,19,167.924458
-148.51878,49,167.968247
-69.547368,30,167.995435
-88.345838,57,168.046376
-61.550794,28,168.072687
-122.388754,45,168.113661
-104.438237,59,168.166514
-155.724014,45,168.205135
-27.663009,11,168.215392
-154.069237,71,168.278774
-150.721083,58,168.331523
-91.110668,30,168.358838
-170.199033,75,168.42664
-28.963327,14,168.439877
-248.018253,77,168.508126
-31.628305,14,168.521689
-108.120518,35,168.553282
-155.439457,53,168.601353
-101.662107,37,168.634282
-91.731428,43,168.672259
-75.334488,31,168.700348
-166.897664,81,168.773706
-58.052973,21,168.793376
-62.147022,25,168.816791
-267.874772,126,168.926789
-387.093674,132,169.044294
-93.644209,36,169.076279
-36.404784,15,169.089982
-39.070838,11,169.100376
-458.337871,167,169.249679
-2524.904441,1000,170.174854
-134.468549,60,170.241239
-110.028702,58,170.303992
-48.493097,20,170.326509
-48.843538,14,170.342679
-130.070017,45,170.392326
-59.19948,25,170.42123
-94.959952,56,170.480533
-2311.14627,1000,172.553621
-131.973667,64,172.616252
-2388.240674,1000,173.52132
-56.150222,19,173.539846
-109.55669,49,173.587795
-131.989926,62,173.6429
-179.208774,66,173.702854
-18.890071,11,173.713076
-51.189104,20,173.73126
-44.727253,15,173.74531
-114.736094,54,173.79496
-43.51696,20,173.813292
-119.223718,54,173.861738
-104.001446,42,173.899695
-26.044999,18,173.91633
-371.414264,127,174.030349
-174.953155,72,174.093094
-53.474926,21,174.112931
-26.090319,10,174.12237
-87.804846,34,174.153215
-24.198812,11,174.163555
-153.157367,77,174.23296
-363.952626,179,174.390605
-49.935207,17,174.410671
-147.586312,57,174.462475
-19.058715,12,174.473375
-31.486989,25,174.495725
-74.862438,36,174.527464
-258.490469,137,174.650135
-651.688769,247,174.874519
-115.594851,42,174.912641
-139.426842,58,174.96213
-105.314611,42,175.000256
-74.715777,24,175.022911
-2384.512887,1000,175.929389
-169.857567,73,175.996399
-254.143251,77,176.077202
-20.351259,16,176.095383
-80.14934,35,176.13475
-101.886923,50,176.190213
-369.526633,167,176.37075
-75.266174,61,176.438934
-201.77197,53,176.498755
-190.388241,83,176.587088
-49.286112,28,176.618641
-234.284274,94,176.721951
-1142.897236,480,177.254376
-181.42254,49,177.308555
-56.248335,24,177.33531
-51.31884,29,177.368065
-184.698151,51,177.424327
-294.179295,147,177.583974
-67.399672,19,177.60617
-185.26234,59,177.668484
-41.481894,27,177.699094
-163.003989,59,177.764228
-456.175844,159,177.937821
-166.017302,66,178.011222
-45.400234,15,178.028267
-326.373364,164,178.205161
-176.982667,77,178.291991
-98.014558,85,178.383321
-54.6206,19,178.405415
-34.11105,26,178.434707
-270.817909,108,178.552221
-56.731209,14,178.567948
-109.305362,66,178.641994
-36.444119,24,178.669731
-79.904108,37,178.711349
-40.423297,12,178.724802
-185.783962,62,178.792166
-42.914379,14,178.808341
-104.328241,66,178.880847
-109.529428,44,178.929957
-254.751056,104,179.04166
-186.781315,62,179.111122
-87.430082,44,179.160083
-98.451716,38,179.201988
-2288.352394,1000,180.324051
-158.857715,59,180.386947
-74.517898,37,180.428809
-2439.486258,1000,181.390353
-38.941235,21,181.41057
-55.6987,27,181.435889
-102.325336,30,181.462704
-201.800768,51,181.509178
-52.383158,16,181.524177
-272.837084,133,181.643669
-179.263407,79,181.712593
-83.930596,33,181.742988
-36.080005,26,181.766912
-443.44346,149,181.90077
-208.350284,78,183.035044
-25.041687,14,183.047917
-62.439146,22,183.067952
-164.094502,56,183.119853
-100.907694,55,183.17064
-2259.278337,1000,184.08169
-156.878474,94,184.166477
-144.032357,56,184.216131
-119.567412,38,184.25113
-98.644271,44,184.290911
-102.471586,54,184.339941
-32.581856,17,184.355953
-64.908841,24,184.377868
-39.646285,21,184.396617
-131.214939,72,184.46084
-108.666558,58,184.513701
-89.091251,38,184.547853
-25.52532,13,184.560245
-82.667869,23,184.581629
-48.245624,33,184.612102
-99.101335,48,184.655483
-125.855506,59,184.708766
-2415.764352,1000,185.615289
-63.357165,18,185.632379
-120.142964,57,185.684042
-99.153063,32,185.713946
-70.851973,28,185.73936
-30.439789,21,185.757843
-31.11552,13,185.770218
-86.174561,25,185.793359
-166.873654,64,185.851767
-32.666372,14,185.865353
-70.395428,28,185.891006
-35.34896,19,185.90858
-87.419715,39,185.944334
-190.716964,72,186.007986
-32.282439,21,186.027729
-41.80227,22,186.047939
-123.390285,54,186.096972
-242.327104,114,186.198205
-47.954017,25,186.22053
-69.727362,22,186.240897
-144.433778,65,186.300471
-113.603555,65,186.359759
-38.554548,15,186.373909
-29.367917,14,186.38727
-28.201006,14,186.400731
-216.905292,109,186.496555
-99.258672,34,186.528082
-119.395736,62,186.584476
-17.23379,12,186.596307
-78.259584,24,186.618506
-40.584365,19,186.63512
-52.846112,21,186.654055
-17.142684,12,186.665144
-275.322936,90,186.746088
-100.27137,30,186.773633
-118.843644,42,186.811912
-225.187241,94,186.894834
-208.235531,90,186.974972
-418.331976,148,187.106601
-195.404165,77,187.176624
-134.012143,52,187.22454
-64.69979,33,187.254934
-102.982408,33,187.285266
-26.981544,12,187.296623
-223.644809,75,187.362707
-59.038612,32,187.392492
-45.582303,24,187.414771
-225.418366,106,187.510149
-69.303323,20,187.528881
-57.0561,24,187.550218
-2270.962852,1000,188.457651
-37.597398,12,188.469312
-43.876035,18,188.486356
-46.161606,40,188.523184
-50.006562,17,188.538893
-2343.736596,1000,189.450608
-40.309355,23,189.472711
-42.971895,22,189.49308
-40.502918,16,189.507917
-58.830001,19,189.525835
-46.478904,30,189.55345
-81.347606,39,189.58848
-61.268984,27,189.613212
-163.754794,62,189.669146
-75.711327,36,189.70258
-172.435875,84,189.778798
-88.396238,55,189.827554
-100.893135,42,189.865643
-65.291292,27,189.890962
-25.874495,25,189.914322
-28.216782,25,189.937608
-135.182591,59,189.991562
-49.405501,20,190.01032
-46.661773,23,190.031532
-119.925895,45,190.072366
-41.642838,19,190.09033
-27.367401,11,190.101253
-169.926862,87,190.179318
-2242.70123,1000,191.086548
-67.273614,29,191.113788
-268.163454,97,191.198899
-24.316672,22,191.219695
-48.259945,14,191.23285
-38.635663,33,191.263324
-158.308737,62,191.319807
-2296.986907,1000,193.290897
-2228.291189,1000,194.201488
-130.034759,46,194.243663
-23.6549,12,194.254843
-535.776304,243,194.46992
-147.596731,66,194.529274
-216.374792,70,194.591817
-8.101401,26,194.615392
-70.202175,24,194.637794
-72.722443,32,194.667646
-33.114569,10,194.677749
-2200.351528,1000,195.582839
-303.82417,89,195.660856
-267.279795,97,195.748206
-22.113977,12,195.759797
-2397.916261,1000,196.666152
-90.800465,57,196.718471
-96.44273,42,196.755285
-58.217995,28,196.780317
-25.55506,19,196.799172
-43.943264,14,196.812242
-49.336493,18,196.829333
-86.841634,39,196.864897
-28.99398,29,196.891798
-193.25592,68,196.952604
-25.100495,10,196.962341
-69.937001,27,196.986458
-135.216556,43,197.024234
-72.392245,49,197.068992
-180.92398,125,197.182878
-701.169056,315,197.466074
-96.47168,71,197.530685
-161.65688,77,197.600194
-61.366766,30,197.628274
-101.063925,39,197.663591
-115.914579,43,197.702291
-67.26661,26,197.72593
-76.903352,43,197.76484
-99.648962,45,197.805887
-58.507021,22,197.82652
-128.073221,50,197.871375
-61.330054,19,197.888542
-145.659522,63,197.944677
-36.207381,20,197.96375
-130.290464,58,198.015924
-62.693162,40,198.052391
-316.632613,167,198.201213
-105.612308,46,198.242896
-25.174228,10,198.252626
-65.559112,27,198.277797
-25.965809,29,198.304386
-65.331783,32,198.332398
-106.609401,34,198.362329
-50.367897,26,198.386422
-301.872582,160,198.531348
-85.001394,38,198.565475
-168.506454,90,198.645596
-18.038255,10,198.655694
-160.182589,63,198.713205
-63.293758,33,198.744099
-108.104169,44,198.782823
-85.712004,34,198.814404
-32.315292,14,198.828139
-17.968218,13,198.840617
-80.163804,30,198.868259
-1151.085733,489,199.313389
-24.671107,15,199.328042
-171.29452,82,199.402761
-2231.291307,1000,200.315063
-86.771723,40,200.352734
-420.936532,161,200.496245
-52.969051,21,200.516088
-177.448883,73,200.580707
-48.864803,13,200.592761
-42.56115,17,200.608485
-72.105292,28,200.634566
-261.749687,113,200.736481
-77.1224,33,200.76698
-433.925299,153,200.90317
-282.327798,137,201.024989
-29.348121,25,201.046973
-203.563615,115,201.151462
-59.223584,22,201.172481
-56.903788,28,201.19782
-52.18857,15,201.211768
-65.255063,31,201.240142
-270.274181,108,201.336226
-157.215328,93,201.419271
-44.312552,17,201.435575
-39.921535,19,201.453036
-88.289879,43,201.490584
-43.066743,28,201.515775
-68.612397,26,201.539796
-30.761587,16,201.555183
-27.826355,12,201.566574
-26.251824,15,201.580803
-77.278525,42,201.619241
-69.271856,37,201.653264
-43.259255,23,201.674422
-125.594008,65,201.732415
-1963.690001,870,203.593535
-13.798658,18,203.61059
-45.099339,32,203.639359
-135.467419,95,203.725291
-36.334748,27,203.74917
-52.884355,16,203.764321
-218.340955,89,203.845112
-169.94213,63,203.90241
-151.089801,57,203.954339
-32.689915,17,203.970069
-70.689482,41,204.006897
-48.254126,22,204.027237
-88.490283,36,204.059956
-276.471824,102,204.152609
-70.869695,25,204.175673
-110.486941,44,204.214009
-83.408752,41,204.251819
-80.153519,42,204.290125
-40.88436,14,204.303113
-2084.391395,1000,205.210599
-47.562417,23,205.232805
-227.298275,107,205.32812
-235.06757,86,205.403711
-119.663097,50,205.449469
-45.517001,16,205.464966
-19.722595,19,205.483128
-47.278202,14,205.496141
-58.259321,31,205.523923
-49.234865,22,205.544526
-81.09251,25,205.567975
-88.404778,47,205.611027
-27.883497,15,205.625205
-103.102371,60,205.679071
-122.131366,46,205.721354
-21.469161,20,205.73944
-45.411699,17,205.755244
-2134.578812,1000,206.667423
-74.357986,28,206.692585
-56.487507,15,206.706588
-265.125311,112,206.806489
-258.458025,110,206.9034
-259.975522,143,207.033015
-321.521687,203,207.213059
-103.093795,37,207.246781
-58.790858,32,207.276414
-132.500593,55,207.325572
-87.844539,42,207.362535
-91.350804,32,207.39182
-42.621557,21,207.411155
-376.718255,149,207.545819
-41.047666,21,207.564899
-95.895872,24,207.586679
-10.324278,7,207.594083
-219.633084,83,207.668517
-17.483322,22,207.688997
-54.465945,22,207.709413
-305.146578,121,207.814968
-28.9352,13,207.827222
-97.594112,37,207.861175
-22.6626,10,207.870426
-318.806178,125,207.983215
-40.848181,14,207.99626
-111.170318,58,208.047352
-94.428126,37,208.081237
-43.010218,16,208.096617
-68.060245,33,208.127227
-157.846767,62,208.183898
-83.437284,28,208.209944
-173.215145,98,208.296316
-48.215963,29,208.323105
-22.385481,12,208.334741
-2250.299232,1000,209.243427
-15.731549,12,209.255184
-94.047864,39,209.290828
-58.895916,20,209.309453
-48.518196,25,209.332041
-54.462464,18,209.348807
-12.202902,8,209.356914
-78.027238,38,209.390955
-102.563972,37,209.42452
-149.104152,64,209.482723
-2096.113353,1000,210.388201
-62.113243,21,210.40795
-49.737357,23,210.431128
-70.14669,28,210.456266
-77.317972,36,210.488473
-111.276958,56,210.538588
-55.467201,26,210.562754
-64.259435,34,210.594244
-49.617642,31,210.622283
-49.087792,32,210.651144
-200.028307,90,210.732187
-200.890396,81,210.80501
-70.003486,26,210.82935
-145.570873,75,210.898217
-124.184803,63,210.953903
-101.432066,40,210.990444
-77.04219,42,211.028856
-28.392596,13,211.04087
-30.713591,17,211.056557
-172.821257,91,211.138719
-32.856968,21,211.157717
-22.764691,12,211.169503
-20.216128,13,211.181436
-148.412598,78,211.251232
-2221.082235,1000,212.159644
-84.417925,30,212.187309
-2146.189719,1000,214.161051
-154.295661,61,214.216859
-102.066591,34,214.247936
-57.636775,21,214.266602
-121.771235,65,214.324871
-99.868221,43,214.363698
-71.966682,49,214.408482
-2177.805209,1000,215.327975
-223.332264,139,215.451263
-83.285678,28,215.476939
-84.773115,45,215.518759
-42.834135,33,215.548548
-76.625897,35,215.580339
-38.906019,24,215.602348
-81.552596,38,215.637005
-20.824003,17,215.653248
-168.021112,82,215.725508
-264.381099,109,215.822678
-31.483071,15,215.83687
-141.03985,63,215.890739
-62.859156,19,215.908151
-67.809874,23,215.929243
-248.026005,110,216.034758
-50.793297,25,216.05911
-177.364183,78,216.134732
-60.880467,29,216.164577
-57.916259,36,216.199586
-47.52746,14,216.213237
-105.874176,55,216.263255
-81.032612,45,216.305089
-173.247392,83,216.378899
-46.780699,22,216.399483
-57.807655,28,216.425225
-326.240552,114,216.529826
-82.144866,32,216.558974
-124.282538,50,216.603868
-27.533813,13,216.616579
-90.724112,29,216.64327
-118.746656,38,216.677962
-67.81204,28,216.704245
-312.37078,141,216.831105
-123.869544,47,216.874325
-2055.617232,897,217.701289
-318.146524,125,217.813702
-25.266014,15,217.82815
-121.693822,43,217.867863
-156.28353,83,217.947642
-20.434634,15,217.963441
-132.727209,51,218.014073
-93.269446,47,218.056818
-46.897561,15,218.071131
-76.844455,33,218.10179
-110.890414,56,218.152146
-25.738478,14,218.164599
-46.395617,23,218.18585
-54.765429,25,218.209507
-111.776804,44,218.250863
-126.471695,85,218.330317
-68.679563,30,218.358298
-32.948726,11,218.368843
-96.331459,38,218.403231
-55.165582,32,218.432656
-208.106404,86,218.51044
-55.72252,19,218.528762
-51.511943,45,218.570688
-21.361615,16,218.585309
-108.954444,50,218.629558
-43.850142,26,218.654378
-105.873902,63,218.712308
-2193.628055,1000,219.641653
-91.079839,45,219.683749
-108.197888,66,219.744399
-53.004808,35,219.775973
-2154.331967,1000,220.703617
-36.961408,11,220.714429
-27.175181,11,220.72484
-18.969864,16,220.740359
-58.786048,23,220.761486
-32.376513,12,220.773239
-2214.916536,1000,221.696517
-162.936222,57,221.747526
-83.351989,45,221.786864
-123.581909,44,221.82664
-22.912636,19,221.844288
-123.568466,68,221.905231
-55.135827,50,221.951051
-29.708396,19,221.968398
-2161.351633,1000,223.932451
-91.709691,36,223.965556
-67.161561,28,223.99108
-143.244796,74,224.055768
-167.603205,89,224.135675
-238.431192,114,224.237917
-14.366648,11,224.248538
-20.474824,14,224.261741
-51.059129,20,224.279852
-75.560133,29,224.305782
-39.367986,19,224.323431
-16.423891,13,224.335949
-196.289003,62,224.3914
-77.630565,28,224.417079
-73.094471,31,224.444884
-14.736995,22,224.46475
-279.231298,102,224.556579
-43.731455,14,224.570072
-170.691032,85,224.646858
-57.76751,25,224.66982
-121.508008,31,224.697593
-28.754736,16,224.712268
-127.2216,76,224.779889
-136.519471,81,224.852492
-49.538798,29,224.879196
-95.12167,48,224.920712
-79.804748,26,224.944536
-58.687717,35,224.976778
-154.222172,59,225.03062
-202.300651,91,225.113453
-245.402645,106,225.206577
-99.299034,40,225.242598
-57.338814,24,225.26415
-59.85152,19,225.281977
-37.418533,29,225.3086
-67.90321,31,225.336431
-111.69915,50,225.379691
-172.648572,73,225.445187
-125.807223,50,225.491567
-161.212941,71,225.556353
-39.881313,17,225.572026
-52.22981,32,225.600845
-59.967948,40,225.640181
-68.810736,42,225.678067
-59.313961,35,225.709392
-46.502239,27,225.734256
-31.651937,23,225.755065
-103.282785,72,225.817014
-91.438871,50,225.861491
-71.992336,50,225.907277
-252.986416,110,226.006454
-155.627567,56,226.056433
-50.426219,22,226.075943
-54.16579,28,226.101463
-82.716798,45,226.141877
-66.136706,35,226.173787
-48.704623,20,226.192617
-26.650858,14,226.205935
-82.448401,53,226.252054
-25.348694,18,226.268205
-100.074536,47,226.310147
-133.265101,94,226.395631
-114.481664,72,226.46057
-79.983431,35,226.495944
-25.380175,18,226.516621
-59.688512,31,226.550444
-178.786235,60,226.61563
-109.734033,53,226.675678
-198.239257,81,226.762181
-74.055955,35,226.801578
