# {"t_start": 1687017264.059135, "env_id": "Ant-v2"} 
r,l,t
-144.69426,64,28.041488
-44.691019,23,28.062449
-44.920918,12,28.073804
-139.521548,43,28.112238
-169.559427,69,28.173834
-346.627215,106,28.267856
-106.479191,40,28.30393
-29.558001,16,28.319447
-137.368193,39,28.354646
-471.656713,149,28.487156
-231.135111,70,28.548547
-249.234051,88,28.626496
-98.742926,32,28.655993
-81.504912,23,28.677137
-126.675992,33,28.706419
-47.077896,22,28.725907
-358.749622,92,28.808117
-132.724466,52,28.856075
-56.679664,23,28.877426
-554.02423,178,29.033957
-71.873445,21,29.053416
-67.298172,26,29.077384
-106.350829,42,29.115845
-131.176463,49,29.159521
-262.656736,69,29.219768
-144.491876,46,29.261361
-75.672988,43,29.301075
-289.845757,97,29.40269
-67.842027,24,29.428857
-110.554806,55,29.489674
-214.096375,77,29.574605
-2834.215595,1000,30.70355
-60.124681,15,30.721409
-51.052081,21,30.745163
-74.63556,29,30.777279
-113.938597,34,30.81586
-332.281513,101,30.928496
-71.813173,29,30.959555
-2929.63716,1000,31.961395
-58.176225,38,31.997378
-64.593896,32,32.026652
-221.850359,66,32.086326
-116.180764,48,32.129542
-186.235239,67,32.189919
-214.622502,88,32.270567
-140.313641,43,32.310101
-113.129142,39,32.345312
-30.800512,10,32.355438
-210.378413,62,32.412278
-2857.388076,1000,34.446398
-129.276259,45,34.48881
-111.162095,42,34.528353
-85.447136,25,34.550918
-60.899069,22,34.570674
-54.908296,23,34.591722
-70.872514,23,34.61342
-58.566279,22,34.633998
-42.98441,18,34.650884
-109.825502,40,34.687315
-107.611931,41,34.725195
-50.23331,29,34.751756
-162.527528,48,34.795273
-31.882274,14,34.808154
-278.543148,95,34.893993
-225.064611,87,34.972787
-163.724626,52,35.019192
-199.033122,68,35.08081
-244.566728,104,35.176739
-75.845054,43,35.216094
-81.473615,36,35.248964
-59.575603,27,35.273756
-88.487182,41,35.31143
-71.951186,22,35.332259
-55.228185,20,35.351043
